City,State,Latitude,Longitude,AQI
Anantapur,Andhra_Pradesh,14.675886,77.593027,29
Chittoor,Andhra_Pradesh,13.204880,79.097889,35
Kadapa,Andhra_Pradesh,14.465052,78.824187,37
Rajamahendravaram,Andhra_Pradesh,16.9872867,81.7363176,58
Tirupati,Andhra_Pradesh,13.67,79.35,49
Tirupati,Andhra_Pradesh,13.615387,79.409230,48
Vijayawada,Andhra_Pradesh,16.536107,80.594233,50
Vijayawada,Andhra_Pradesh,16.486692,80.699436,47
Vijayawada,Andhra_Pradesh,16.509717,80.612222,54
Visakhapatnam,Andhra_Pradesh,17.72,83.3,74
Byrnihat,Assam,26.071318,91.87488,273
Guwahati,Assam,26.2028636,91.70046436,77
Guwahati,Assam,26.10887,91.589544,99
Guwahati,Assam,26.187500,91.744194,89
Guwahati,Assam,26.181742,91.78063,114
Nagaon,Assam,26.349082,92.68449,112
Nalbari,Assam,26.446912,91.439057,162
Silchar,Assam,24.82827,92.79525,40
Sivasagar,Assam,26.987634,94.636574,47
Araria,Bihar,26.146529,87.454184,177
Arrah,Bihar,25.5626095,84.663264,259
Begusarai,Bihar,25.444266,86.140169,310
Bettiah,Bihar,26.80365,84.51954,194
Bhagalpur,Bihar,25.251013,86.989001,137
Bhagalpur,Bihar,25.265194,87.012947,197
Bihar Sharif,Bihar,25.204762,85.514960,73
Chhapra,Bihar,25.7808257,84.7446768,273
Gaya,Bihar,24.7955,84.9994,177
Gaya,Bihar,24.792403,84.992416,240
Gaya,Bihar,24.762518,84.982348,55
Hajipur,Bihar,25.697189,85.245900,158
Katihar,Bihar,25.560083,87.553265,222
Kishanganj,Bihar,26.0881305,87.93840336,149
Manguraha,Bihar,27.308328,84.531742,75
Motihari,Bihar,26.63086,84.90051,201
Munger,Bihar,25.376776,86.471523,72
Muzaffarpur,Bihar,26.11442,85.39813,240
Muzaffarpur,Bihar,26.1403345,85.3650192,272
Muzaffarpur,Bihar,26.1209,85.3647,113
Patna,Bihar,25.586562,85.043586,222
Patna,Bihar,25.5941,85.1376,140
Patna,Bihar,25.619651,85.147382,306
